,Gene.title,P.Value
5286,huntingtin interacting protein 1,0.46
5287,Rho GTPase activating protein 29,0.633
5288,C1RL antisense RNA 1,0.265
5289,RNA binding motif single stranded interacting protein 3,0.367
5290,uncharacterized LOC105370612,0.269
5291,,0.756
5292,,0.29
5293,protocadherin related 15,0.456
5294,,0.00124
5295,multiple EGF like domains 11,0.468
5296,long intergenic non-protein coding RNA 1289,0.631
5297,nucleosome assembly protein 1 like 4,3.51e-08
5298,retinitis pigmentosa 9 pseudogene,0.157
5299,,1.84e-05
5300,,0.0267
5301,,0.734
5302,Rho guanine nucleotide exchange factor 28,0.0413
5303,,1.81e-06
5304,uncharacterized LOC101927104///ENTPD1 antisense RNA 1,0.0116
5305,,0.599
5306,,0.255
5307,,0.935
5308,integrin subunit alpha 1,0.465
5309,ANKH inorganic pyrophosphate transport regulator,0.00627
5310,ANKH inorganic pyrophosphate transport regulator,0.261
5311,long intergenic non-protein coding RNA 997,0.73
5312,uncharacterized LOC101929713,0.828
5313,uncharacterized LOC101929713,0.313
5314,GRIK1 antisense RNA 2,0.231
5315,uncharacterized LOC497256,0.216
5316,GRB2 associated binding protein 1,0.174
5317,uncharacterized LOC101928658,0.22
5318,uncharacterized LOC101928658,0.992
5319,,0.772
5320,,0.0406
5321,long intergenic non-protein coding RNA 663,0.445
5322,phosphatidylinositol glycan anchor biosynthesis class L,0.00272
5323,,0.135
5324,kelch like family member 6,0.0344
5325,kelch like family member 6,0.000116
5326,OTU deubiquitinase 7A,0.0317
5327,growth arrest specific 5 (non-protein coding),0.0367
5328,diphthamine biosynthesis 6,0.437
5329,uncharacterized LOC101928632,0.0417
5330,microtubule affinity regulating kinase 1,0.0289
5331,,0.415
5332,uncharacterized LOC101928251,0.739
5333,,0.0245
5334,uncharacterized LOC100507506,0.171
5335,long intergenic non-protein coding RNA 298,0.907
5336,dynein axonemal heavy chain 11,0.698
5337,centrosomal protein 57 like 1,0.518
5338,uncharacterized LOC100127974,0.0594
5339,,0.049
5340,uncharacterized LOC105376037,0.608
5341,PTPRD antisense RNA 1,0.283
5342,cilia and flagella associated protein 54,0.208
5343,,0.995
5344,"NTPase, KAP family P-loop domain containing 1",0.0712
5345,phosphoglucomutase 5 pseudogene 2,0.607
5346,CLRN1 antisense RNA 1,0.458
5347,,0.397
5348,clathrin light chain A,0.132
5349,,0.807
5350,leucine rich repeat and Ig domain containing 3,7.23e-05
5351,,0.98
5352,Rho guanine nucleotide exchange factor 1,0.00728
5353,importin 5 pseudogene 1,0.903
5354,PRR7 antisense RNA 1,0.599
5355,uncharacterized LOC101927543,0.285
5356,,0.251
5357,,0.145
5358,uncharacterized LOC339166///WSC domain containing 1,0.596
5359,perilipin 5,0.241
5360,perilipin 5,0.624
5361,calcyphosine 2,0.185
5362,,0.233
5363,FSHD region gene 1 pseudogene,0.239
5364,tetraspanin 10,0.438
5365,progestin and adipoQ receptor family member 9,0.379
5366,nuclear receptor subfamily 5 group A member 2,0.222
5367,long intergenic non-protein coding RNA 705,0.878
5368,,0.0327
5369,uncharacterized LOC100129455,0.789
5370,,0.0176
5371,sterile alpha motif domain containing 11,0.0344
5372,,0.838
5373,uncharacterized LOC105370424,0.111
5374,,0.347
5375,human immunodeficiency virus type I enhancer binding protein 1,0.0517
5376,syntaxin binding protein 3,0.000108
5377,lipocalin like 1,0.418
5378,,0.364
5379,FAT atypical cadherin 3,0.456
5380,uncharacterized LOC102546299,0.687
5381,,0.0554
5382,"CPX chromosome region, candidate 1",0.654
5383,"CPX chromosome region, candidate 1",0.401
5384,uncharacterized LOC101929741,0.728
5385,MRGPRF antisense RNA 1,0.0303
5386,,0.788
5387,long intergenic non-protein coding RNA 1550,0.068
5388,,1.56e-05
5389,TFAP2A antisense RNA 1,0.0957
5390,uncharacterized LOC101928161,0.227
5391,acyl-CoA wax alcohol acyltransferase 1,0.564
5392,,0.0559
5393,ARHGEF7 intronic transcript 1,0.222
5394,uncharacterized LOC105373065,0.115
5395,,0.406
5396,uncharacterized LOC400568,0.835
5397,long intergenic non-protein coding RNA 636,0.894
5398,TMEM26 antisense RNA 1,0.752
5399,TMEM26 antisense RNA 1,0.85
5400,uncharacterized LOC102724162,0.0102
5401,DLGAP1 antisense RNA 3,0.595
5402,,0.0918
5403,GRB2 related adaptor protein like,0.284
5404,,0.151
5405,MAGI2 intronic transcript 1,0.453
5406,"nuclear factor, erythroid 4",0.0573
5407,,0.949
5408,late cornified envelope 1B,0.473
5409,uncharacterized LOC101928098,0.0242
5410,,0.214
5411,FGF13 antisense RNA 1,0.752
5412,uncharacterized LOC101928386,0.382
5413,,0.821
5414,MCM3AP antisense RNA 1,0.3
5415,G protein-coupled receptor kinase 4,0.323
5416,,0.687
5417,long intergenic non-protein coding RNA 382,0.374
5418,uncharacterized LOC101927722,0.598
5419,,0.0253
5420,TGFB1-induced anti-apoptotic factor 1,0.0615
5421,chromosome 1 open reading frame 145,0.597
5422,pleckstrin homology domain containing A8,0.173
5423,uncharacterized LOC105370549,0.243
5424,INTS3 and NABP interacting protein,0.251
5425,,0.0644
5426,uncharacterized LOC101927143,0.386
5427,zinc finger protein 677,0.0804
5428,uncharacterized LOC101929552,0.0136
5429,long intergenic non-protein coding RNA 1333,0.116
5430,uncharacterized LOC101926951///protocadherin 20,0.404
5431,,0.27
5432,long intergenic non-protein coding RNA 944,0.539
5433,uncharacterized LOC101928845,0.28
5434,,0.0605
5435,SLC16A1 antisense RNA 1,0.055
5436,,0.115
5437,,0.856
5438,peroxiredoxin 5,1.44e-07
5439,,0.868
5440,uncharacterized LOC101928132,0.65
5441,uncharacterized LOC105376323,0.977
5442,uncharacterized LOC100128993,0.177
5443,,0.0592
5444,centrosomal protein 89,0.774
5445,,0.818
5446,crystallin zeta like 1,0.694
5447,uncharacterized LOC101929621,0.0871
5448,,0.635
5449,,0.0146
5450,uncharacterized LOC100128198,0.034
5451,,0.112
5452,long intergenic non-protein coding RNA 935,0.635
5453,potassium two pore domain channel subfamily K member 15,0.824
5454,,0.156
5455,,0.00274
5456,CATIP antisense RNA 1,0.161
5457,uncharacterized LOC105369167,0.728
5458,,0.125
5459,calcium binding and coiled-coil domain 2,0.745
5460,C21orf91 overlapping transcript 1,0.0961
5461,uncharacterized LOC105373876,0.195
5462,uncharacterized LOC100286989,0.151
5463,uncharacterized LOC105375839,0.593
5464,uncharacterized LOC105375839,0.124
5465,,0.809
5466,,0.239
5467,,0.787
5468,"methyltransferase like 21E, pseudogene",0.317
5469,TSPY like 1,0.382
5470,TSPY like 1,0.306
5471,insulin receptor substrate 4,0.543
5472,tigger transposable element derived 2 pseudogene,0.914
5473,uncharacterized LOC101928327,0.974
5474,tyrosine kinase with immunoglobulin like and EGF like domains 1,0.733
5475,long intergenic non-protein coding RNA 342,9.3e-05
5476,long intergenic non-protein coding RNA 342,2.5e-05
5477,"WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2///WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 3",0.628
5478,serine carboxypeptidase 1,0.286
5479,KIAA1652 protein,0.454
5480,KIZ antisense RNA 1,0.221
5481,siah E3 ubiquitin protein ligase family member 3,0.92
5482,,0.284
5483,long intergenic non-protein coding RNA 1127,0.476
5484,,0.00067
5485,neurobeachin pseudogene 1,0.349
5486,neurobeachin pseudogene 1,0.919
5487,integrin subunit alpha D,0.117
5488,AKT serine/threonine kinase 2,2.97e-05
5489,long intergenic non-protein coding RNA 1153,0.584
5490,VSTM2A overlapping transcript 1///V-set and transmembrane domain containing 2A,0.341
5491,SFT2 domain containing 1,0.778
5492,queuine tRNA-ribosyltransferase accessory subunit 2,0.0256
5493,queuine tRNA-ribosyltransferase accessory subunit 2,0.0262
5494,TRHDE antisense RNA 1,0.048
5495,TRHDE antisense RNA 1,0.474
5496,LYR motif containing 9,0.00423
5497,solute carrier family 25 member 28,0.306
5498,"neural precursor cell expressed, developmentally down-regulated 9",0.361
5499,uncharacterized LOC283856,0.239
5500,"transmembrane protease, serine 11B",0.64
5501,extracellular leucine rich repeat and fibronectin type III domain containing 2,0.354
5502,uncharacterized LOC399821,0.475
5503,prolyl 4-hydroxylase subunit alpha 3,0.478
5504,uncharacterized LOC101929745,0.105
5505,uncharacterized LOC105370737,0.423
5506,MAP kinase interacting serine/threonine kinase 1,0.00976
5507,,0.562
5508,uncharacterized LOC283731,0.19
5509,torsin 1A interacting protein 1,0.00582
5510,IL12A antisense RNA 1,0.836
5511,HEAT repeat containing 4,0.651
5512,,0.542
5513,"ALG5, dolichyl-phosphate beta-glucosyltransferase",0.13
5514,uncharacterized LOC101927079///uncharacterized LOC727924///olfactory receptor family 4 subfamily N member 4,0.861
5515,olfactory receptor 4N4///uncharacterized LOC101927079///uncharacterized LOC727924///olfactory receptor family 4 subfamily N member 4,0.282
5516,,0.203
5517,,0.9
5518,SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N,0.606
5519,"ALS2, alsin Rho guanine nucleotide exchange factor",0.2
5520,"ALS2, alsin Rho guanine nucleotide exchange factor",0.866
5521,,0.352
5522,,0.114
5523,NEXN antisense RNA 1,0.228
5524,,0.809
5525,,0.0685
5526,uncharacterized LOC151121,0.0965
5527,AQP4 antisense RNA 1,0.411
5528,F-box and WD repeat domain containing 2,0.803
5529,,0.44
5530,CKLF like MARVEL transmembrane domain containing 7,0.0223
5531,,0.796
5532,,0.958
5533,"topoisomerase (DNA) I, mitochondrial",0.919
5534,,0.775
5535,long intergenic non-protein coding RNA 1527,0.943
5536,long intergenic non-protein coding RNA 996,0.0384
5537,,0.333
5538,Rho GTPase activating protein 22,0.87
5539,Rho GTPase activating protein 22,0.75
5540,HLA complex group 22,0.0289
5541,,0.792
5542,poly(A) binding protein cytoplasmic 1,0.33
5543,,0.0255
5544,,0.512
5545,DLG associated protein 1,0.0497
5546,,0.231
5547,,0.0402
5548,,2.7e-06
5549,zinc finger protein 568,0.797
5550,dynein heavy chain domain 1,0.686
5551,,0.00427
5552,,0.607
5553,dual specificity tyrosine phosphorylation regulated kinase 3,0.203
5554,uncharacterized LOC101929143,0.0353
5555,myosin IIIB,0.802
5556,golgin A6 family-like 2,0.304
5557,uncharacterized LOC101928809,0.725
5558,,0.14
5559,uncharacterized LOC105376072,0.255
5560,uncharacterized LOC101927830///TMLHE antisense RNA 1,0.105
5561,,0.396
5562,,0.306
5563,dynein axonemal heavy chain 3,0.318
5564,uncharacterized LOC646743///uncharacterized LOC150527,0.681
5565,uncharacterized LOC101927735,0.424
5566,uncharacterized LOC101928708,0.332
5567,,0.455
5568,chromosome 15 open reading frame 57,0.797
5569,,0.0321
5570,long intergenic non-protein coding RNA 944,0.0431
5571,long intergenic non-protein coding RNA 944,0.971
5572,Rho GTPase activating protein 22,0.815
5573,uncharacterized LOC340017,0.323
5574,uncharacterized LOC101929398,0.234
5575,uncharacterized LOC101928725,0.515
5576,chromosome 19 open reading frame 84,0.0982
5577,long intergenic non-protein coding RNA 1029,0.104
5578,uncharacterized LOC101927827///long intergenic non-protein coding RNA 1189,0.274
5579,rhabdomyosarcoma 2 associated transcript (non-protein coding),0.0847
5580,long intergenic non-protein coding RNA 1241,0.361
5581,family with sequence similarity 217 member A,0.835
5582,uncharacterized LOC389247,0.68
5583,TEX26 antisense RNA 1,0.137
5584,uncharacterized LOC105378052,0.803
5585,CDK2 associated cullin domain 1,0.0201
5586,uncharacterized LOC101927490,0.168
5587,uncharacterized LOC101926959,0.859
5588,long intergenic non-protein coding RNA 619,0.275
5589,"zinc finger protein 826, pseudogene",0.106
5590,zinc finger protein 107,0.999
5591,,0.279
5592,ARHGAP26 antisense RNA 1,0.893
5593,,0.259
5594,uncharacterized LOC105371807,0.0103
5595,long intergenic non-protein coding RNA 1520,0.123
5596,,0.825
5597,,0.311
5598,,0.0953
5599,WNK lysine deficient protein kinase 2,0.194
5600,,0.368
5601,,0.207
5602,,0.117
5603,,0.108
5604,,0.504
5605,,0.0514
5606,calcium release activated channel regulator 2A,0.264
5607,,0.916
5608,synaptotagmin 15,0.48
5609,synaptotagmin 15,0.0938
5610,long intergenic non-protein coding RNA 112,0.305
5611,TLX1 neighbor,0.211
5612,solute carrier family 17 member 1,0.465
5613,solute carrier family 17 member 1,0.678
5614,,0.83
5615,,0.788
5616,,0.634
5617,long intergenic non-protein coding RNA 1088,0.921
5618,long intergenic non-protein coding RNA 1088,0.285
5619,,0.759
5620,uncharacterized LOC645188,0.347
5621,,0.0289
5622,keratin associated protein 10-11,0.00346
5623,basic salivary proline-rich protein 2,0.482
5624,,0.74
5625,,0.251
5626,,0.199
5627,,0.0146
5628,,0.0184
5629,,0.659
5630,,0.229
5631,,0.402
5632,peptidylprolyl isomerase like 6,0.0278
5633,uncharacterized LOC100133461,0.0306
5634,long intergenic non-protein coding RNA 1120,0.14
5635,,0.891
5636,dpy-19 like 1,0.954
5637,dpy-19 like 1,0.000103
5638,,0.437
5639,,0.692
5640,uncharacterized LOC102725382,0.274
5641,zinc finger protein 169,0.195
5642,zinc finger protein 169,0.309
5643,,0.0233
5644,,0.275
5645,uncharacterized LOC151657,0.327
5646,,0.474
5647,uncharacterized protein FLJ31356,0.0311
5648,uncharacterized LOC284669,0.776
5649,uncharacterized LOC284669,0.837
5650,Ras suppressor protein 1,0.573
5651,PCOLCE antisense RNA 1,0.0335
5652,SACS antisense RNA 1,0.149
5653,SACS antisense RNA 1,0.378
5654,phosphogluconate dehydrogenase,0.638
5655,phosphogluconate dehydrogenase,0.418
5656,solute carrier family 25 member 3 pseudogene 1,0.208
5657,,0.868
5658,HECW1 intronic transcript 1,0.293
5659,,0.328
5660,uncharacterized LOC101928167,0.238
5661,,0.12
5662,uncharacterized LOC101928626,0.635
5663,uncharacterized LOC101928516,0.827
5664,,0.284
5665,,0.0726
5666,,0.836
5667,uncharacterized LOC100506379,0.315
5668,,0.292
5669,,0.125
5670,,0.779
5671,,0.167
5672,,0.42
5673,nitric oxide synthase 1,0.547
5674,BCL2 like 13,0.0747
5675,,0.228
5676,,0.644
5677,,0.334
5678,peroxisome proliferator activated receptor alpha,0.964
5679,,0.726
5680,,0.000359
5681,,0.907
5682,long intergenic non-protein coding RNA 556,0.0825
5683,,0.593
5684,,0.0286
5685,uncharacterized LOC400590,0.614
5686,uncharacterized LOC400590,0.398
5687,,0.302
5688,,0.139
5689,,0.761
5690,,0.405
5691,,0.405
5692,,0.0568
5693,,0.0784
5694,,0.254
5695,PRKCQ antisense RNA 1,0.202
5696,,0.0854
5697,monoamine oxidase B,0.225
5698,monoamine oxidase B,0.743
5699,,0.281
5700,,0.521
5701,,0.12
5702,,0.856
5703,,0.771
5704,,0.106
5705,,0.534
5706,uncharacterized LOC105371307,0.827
5707,CDK5 regulatory subunit associated protein 1 like 1,0.93
5708,CDK5 regulatory subunit associated protein 1 like 1,0.755
5709,uncharacterized LOC646241,0.484
5710,long intergenic non-protein coding RNA 1425,0.298
5711,transmembrane channel like 7,0.475
5712,uncharacterized LOC101927211,0.169
5713,,0.0613
5714,uncharacterized LOC102723335,0.728
5715,uncharacterized LOC105373113,0.62
5716,uncharacterized LOC105373113,0.0144
5717,zinc finger protein 81,0.967
5718,zinc finger protein 81,0.921
5719,trinucleotide repeat containing 6C,0.000294
5720,"cancer susceptibility candidate 7 (non-protein coding)///argonaute 2, RISC catalytic component",0.471
5721,uncharacterized LOC101928973,0.00204
5722,uncharacterized LOC101928973,0.0843
5723,"arginyl-tRNA synthetase 2, mitochondrial",0.292
5724,NAV2 intronic transcript 1,0.475
5725,,0.57
5726,,0.15
5727,coiled-coil domain containing 14,0.252
5728,uncharacterized LOC100507534,0.223
5729,,0.557
5730,,0.0307
5731,long intergenic non-protein coding RNA 691,0.919
5732,uncharacterized LOC101929752,0.624
5733,uncharacterized LOC729506,0.181
5734,uncharacterized LOC101928850,0.457
5735,,0.314
5736,,0.493
5737,,0.0142
5738,uncharacterized LOC105378470,0.252
5739,,7.19e-05
5740,uncharacterized LOC101060553,0.273
5741,uncharacterized LOC105372969,0.605
5742,uncharacterized LOC105376100,0.0871
5743,ankyrin repeat domain 28,0.944
5744,thioredoxin reductase 1,0.237
5745,nidogen 1,0.18
5746,long intergenic non-protein coding RNA 1254,0.271
5747,,0.662
5748,uncharacterized LOC153910,0.397
5749,,0.0976
5750,uncharacterized LOC101930452,0.799
5751,EYA transcriptional coactivator and phosphatase 4,0.0557
5752,,0.53
5753,long intergenic non-protein coding RNA 1538,0.859
5754,long intergenic non-protein coding RNA 1209,0.379
5755,,0.429
5756,solute carrier family 22 member 25,0.551
5757,solute carrier family 22 member 25,0.363
5758,long intergenic non-protein coding RNA 1091,0.853
5759,,0.0746
5760,long intergenic non-protein coding RNA 616,0.0159
5761,TBC1D22A antisense RNA 1,0.441
5762,,0.525
5763,JAKMIP2 antisense RNA 1,0.468
5764,uncharacterized LOC101929488,0.415
5765,uncharacterized LOC101929757,0.796
5766,uncharacterized LOC101926962,0.0129
5767,claudin 11,0.202
5768,long intergenic non-protein coding RNA 271,0.596
5769,uncharacterized LOC101928985,0.0331
5770,uncharacterized LOC102723648,0.571
5771,,0.535
5772,,0.541
5773,DEP domain containing 4,0.231
5774,,0.0886
5775,,0.479
5776,RAD51 paralog B,0.713
5777,,0.125
5778,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like,0.987
5779,,0.529
5780,ADARB2 antisense RNA 1,0.72
5781,,0.068
5782,,0.307
5783,HECT domain E3 ubiquitin protein ligase 4,0.0146
5784,DEAH-box helicase 35,0.144
5785,,0.388
5786,,0.736
5787,,0.306
5788,glycophorin E (MNS blood group),0.921
5789,glycophorin E (MNS blood group),0.496
5790,,0.132
5791,,0.904
5792,uncharacterized LOC101929504,0.943
5793,,0.0969
5794,,0.167
5795,VPS35 retromer complex component,0.0961
5796,,0.519
5797,,0.449
5798,,0.421
5799,,0.0197
5800,,0.355
5801,,0.772
5802,,0.755
5803,,0.869
5804,,0.343
5805,,0.377
5806,,0.826
5807,defensin beta 108B,0.125
5808,,0.00749
5809,,0.243
5810,,0.171
5811,golgin A6 family-like 6,0.0851
5812,golgin A6 family-like 6///golgin A6 family-like 22///golgin A6 family-like 1,0.000842
5813,uncharacterized LOC283482,0.00871
5814,,0.969
5815,archaelysin family metallopeptidase 1,0.0169
5816,,0.859
5817,,0.563
5818,"testis-specific transcript, Y-linked 7 (non-protein coding)",0.688
5819,,0.418
5820,cyclin dependent kinase like 3,0.715
